2024-12-18 11:12:979 INFO  LoginPage :48 - enter user name :Admin
2024-12-18 11:12:103 INFO  LoginPage :54 - enter passwordadmin123
2024-12-18 11:12:121 INFO  LoginPage :59 - click on [[ChromeDriver: chrome on windows (cb7a94a58e86af71e7755c520d13f892)] -> xpath: //button[@type='submit']]
2024-12-18 11:12:384 INFO  HomePage :22 - verify user profile image is displayed  [[ChromeDriver: chrome on windows (cb7a94a58e86af71e7755c520d13f892)] -> xpath: //span[@class='oxd-userdropdown-tab']]
2024-12-18 11:12:739 INFO  LoginPage :48 - enter user name :Admin
2024-12-18 11:12:853 INFO  LoginPage :54 - enter passwordadmin123
2024-12-18 11:12:798 INFO  LoginPage :59 - click on [[ChromeDriver: chrome on windows (eba331faab9abf998142498a577e4c35)] -> xpath: //button[@type='submit']]
2024-12-18 11:12:114 INFO  AddUserPage :77 - Get page title of : [[ChromeDriver: chrome on windows (eba331faab9abf998142498a577e4c35)] -> xpath: //h5]
2024-12-18 11:12:240 INFO  AddUserPage :103 - Enter user name : prime test
2024-12-18 11:12:487 INFO  AddUserPage :109 - select user roll from drop down as Admin
2024-12-18 11:12:661 INFO  AddUserPage :116 - select user status from drop down as Disable
2024-12-18 11:12:750 INFO  AddUserPage :121 - Click on search button [[ChromeDriver: chrome on windows (eba331faab9abf998142498a577e4c35)] -> xpath: //button[normalize-space()='Search']]
2024-12-18 11:12:797 INFO  AddUserPage :125 - get user name from search result Proxy element for: DefaultElementLocator 'By.xpath: //div[@role='columnheader'or normalize-space()='Username'][2]/ancestor::div[@role='rowgroup']/following-sibling::div[@class='oxd-table-body']//div[@class='oxd-table-cell oxd-padding-cell'][2]'
2024-12-18 11:12:432 INFO  LoginPage :48 - enter user name :Admin
2024-12-18 11:12:561 INFO  LoginPage :54 - enter passwordadmin123
2024-12-18 11:12:601 INFO  LoginPage :59 - click on [[ChromeDriver: chrome on windows (d9abb20cc13e785134df371b8a7f3580)] -> xpath: //button[@type='submit']]
